2465761,gandalf,UCB00000233,janus-long,1,1,180000,864243,1737056kb,152901,1391113589,1391113589,1391792839,1391945740,0,default,42.4725
2492324,metalbeard,S00000232,janus-small,1,12,36000,107557,253252kb,9072,1391885556,1391937231,1391937248,1391946319,0,default,30.2400
2492365,metalbeard,S00000232,janus-small,1,12,36000,106911,237112kb,9014,1391885568,1391937330,1391937343,1391946360,0,default,30.0466
2465937,gandalf,UCB00000233,janus-long,1,1,216000,142629,15488kb,156238,1391129834,1391129834,1391792867,1391949105,0,default,43.3994
2492570,gandalf,UCB00000178,janus-small,1,12,86400,172432,939148kb,54493,1391895570,1391895570,1391895581,1391950074,0,singlejob,181.6433
2472741,metalbeard,S00000232,janus-small,1,12,21600,170480,277212kb,14328,1391642496,1391937752,1391937760,1391952088,0,default,47.7600
2488086,lucy,UCB00000178,crc-gpu,1,1,14400,12978,525284kb,13003,1391793135,1391931913,1391940163,1391953166,0,singlejob,43.3433
2492407,metalbeard,S00000232,janus-small,1,12,36000,105609,261268kb,9006,1391885609,1391944329,1391944341,1391953346,0,default,30.0200
2468734,metalbeard,S00000232,janus-small,1,12,43200,159319,295920kb,13403,1391489055,1391941225,1391941260,1391954660,0,default,44.6766
2492366,metalbeard,S00000232,janus-small,1,12,36000,107735,235944kb,9081,1391885568,1391946357,1391946365,1391955447,0,default,30.2700
2492325,metalbeard,S00000232,janus-small,1,12,36000,108657,262652kb,9158,1391885556,1391946319,1391946333,1391955491,0,default,30.5266
2468699,metalbeard,S00000232,janus-small,1,12,43200,340851,313956kb,28566,1391488981,1391927733,1391927756,1391956322,0,default,95.2200
2488114,lucy,UCB00000178,crc-gpu,1,1,14400,12983,489116kb,13010,1391793885,1391944932,1391944950,1391957960,0,singlejob,43.3666
2492408,metalbeard,S00000232,janus-small,1,12,36000,108821,248592kb,9173,1391885609,1391953346,1391953372,1391962545,0,default,30.5766
2492367,metalbeard,S00000232,janus-small,1,12,36000,107526,236008kb,9063,1391885569,1391955447,1391955462,1391964525,0,default,30.2100
2492326,metalbeard,S00000232,janus-small,1,12,36000,106305,269840kb,9135,1391885556,1391955491,1391955495,1391964629,0,default,30.4500
2492829,emmet,AMATH00000002,janus-small,1,12,4200,5394,474372kb,679,1391964444,1391964444,1391964458,1391965137,0,default,2.2633
2492830,emmet,AMATH00000002,janus-small,1,12,600,0,7316kb,75,1391965063,1391965063,1391965068,1391965143,0,default,.2500
2488087,lucy,UCB00000178,crc-gpu,1,1,14400,12962,493536kb,12985,1391793139,1391953166,1391953179,1391966164,0,singlejob,43.2833
2472742,metalbeard,S00000232,janus-small,1,12,21600,173452,270560kb,14574,1391642496,1391952088,1391952118,1391966692,0,default,48.5800
2489103,ande1141,UCB00000263,janus-long,2,12,172800,1382184,20154892kb,96908,1391814401,1391814401,1391870179,1391967087,0,default,646.0533
2468735,metalbeard,S00000232,janus-small,1,12,43200,155174,295268kb,13048,1391489055,1391954660,1391954691,1391967739,0,default,43.4933
2488291,metalbeard,S00000142,crc-serial,1,12,672600,933889,6483676kb,170512,1391797847,1391797847,1391797864,1391968376,0,default,568.3733
2492834,wyldstyle,UCB00000260,janus-short,1,1,1800,0,0kb,1,1391969743,1391969743,1391969765,1391969766,0,default,.0002
2492836,wyldstyle,UCB00000260,janus-short,1,1,1800,0,0kb,1,1391970711,1391970711,1391970730,1391970731,0,default,.0002
2488115,lucy,UCB00000178,crc-gpu,1,1,14400,12957,597740kb,12982,1391793890,1391957960,1391957967,1391970949,0,singlejob,43.2733
2492838,wyldstyle,UCB00000260,janus-short,1,1,1800,126,32616kb,154,1391970797,1391970797,1391970827,1391970981,0,default,.0427
2492839,wyldstyle,UCB00000260,janus-short,1,1,1800,126,51248kb,154,1391970806,1391970806,1391970827,1391970982,0,default,.0427
2492840,wyldstyle,UCB00000260,janus-short,1,1,1800,126,51504kb,154,1391970811,1391970811,1391970827,1391970982,0,default,.0427
2492837,wyldstyle,UCB00000260,janus-short,1,1,1800,126,52704kb,154,1391970793,1391970793,1391970827,1391970982,0,default,.0427
2492409,metalbeard,S00000232,janus-small,1,12,36000,105844,251728kb,8923,1391885609,1391962545,1391962565,1391971489,0,default,29.7433
2492844,wyldstyle,UCB00000260,janus-short,1,12,3600,4897,284832kb,1273,1391970835,1391970835,1391970860,1391972133,0,default,4.2433
2492841,wyldstyle,UCB00000260,janus-short,1,12,3600,4898,284476kb,1319,1391970835,1391970835,1391970860,1391972179,0,default,4.3966
2492845,wyldstyle,UCB00000260,janus-short,1,12,3600,4897,282816kb,1373,1391970842,1391970842,1391970860,1391972233,0,default,4.5766
2492842,wyldstyle,UCB00000260,janus-short,1,12,3600,4898,283988kb,1369,1391970835,1391970835,1391970860,1391972229,0,default,4.5633
2492843,wyldstyle,UCB00000260,janus-short,1,12,3600,4887,288784kb,1394,1391970835,1391970835,1391970860,1391972253,0,default,4.6466
2492846,wyldstyle,UCB00000260,janus-short,1,12,3600,4884,277864kb,1716,1391970842,1391970842,1391970894,1391972609,0,default,5.7200
2492847,wyldstyle,UCB00000260,janus-short,1,12,3600,4899,285916kb,1743,1391970842,1391970842,1391970894,1391972637,0,default,5.8100
2492848,wyldstyle,UCB00000260,janus-short,1,12,3600,4901,282496kb,1876,1391970842,1391970842,1391970894,1391972769,0,default,6.2533
2492849,wyldstyle,UCB00000260,janus-short,1,12,3600,4899,285716kb,1915,1391970848,1391970848,1391970894,1391972808,0,default,6.3833
2492850,wyldstyle,UCB00000260,janus-short,1,12,3600,4897,281884kb,1991,1391970848,1391970848,1391970894,1391972885,0,default,6.6366
2492854,wyldstyle,UCB00000260,janus-short,1,12,3600,4899,285816kb,2112,1391970861,1391970861,1391970928,1391973039,0,default,7.0400
2492855,wyldstyle,UCB00000260,janus-short,1,12,3600,4898,285224kb,2148,1391970861,1391970861,1391970928,1391973076,0,default,7.1600
2492852,wyldstyle,UCB00000260,janus-short,1,12,3600,4886,285588kb,2205,1391970848,1391970848,1391970928,1391973132,0,default,7.3500
2492946,vitruvius,UCB00000261,janus-small,10,12,86400,39,10708kb,196,1391972946,1391972946,1391972951,1391973148,0,default,6.5333
2492952,vitruvius,UCB00000261,janus-small,10,12,86400,41,18220kb,201,1391972947,1391972947,1391972951,1391973154,0,default,6.7000
2492936,vitruvius,UCB00000261,janus-small,10,12,86400,42,10704kb,203,1391972945,1391972945,1391972951,1391973154,0,default,6.7666
2492950,vitruvius,UCB00000261,janus-small,10,12,86400,42,10700kb,201,1391972946,1391972946,1391972951,1391973154,0,default,6.7000
2492948,vitruvius,UCB00000261,janus-small,10,12,86400,41,10704kb,203,1391972946,1391972946,1391972951,1391973156,0,default,6.7666
2492942,vitruvius,UCB00000261,janus-small,10,12,86400,43,10700kb,209,1391972946,1391972946,1391972951,1391973162,0,default,6.9666
2492956,vitruvius,UCB00000261,janus-small,10,12,86400,61,15156kb,177,1391972947,1391972947,1391972985,1391973164,0,default,5.9000
2492932,vitruvius,UCB00000261,janus-small,10,12,86400,41,420404kb,210,1391972944,1391972944,1391972950,1391973162,0,default,7.0000
2492944,vitruvius,UCB00000261,janus-small,10,12,86400,55,10708kb,209,1391972946,1391972946,1391972951,1391973162,0,default,6.9666
2492938,vitruvius,UCB00000261,janus-small,10,12,86400,40,10704kb,209,1391972945,1391972945,1391972951,1391973162,0,default,6.9666
2492940,vitruvius,UCB00000261,janus-small,10,12,86400,42,10704kb,209,1391972945,1391972945,1391972951,1391973162,0,default,6.9666
